,Akaki,Ankober,Ataye,Awadi,Awash Adaitu,Awash Awash,Awash Haledebi,Awash Kunture,Awash Terminal,Awash US_Koka,Awash-Arba US,Borkena,Cheleka_Gewis,Eastern Catchment-01,Kebena,Keleta-Werenso,Kesem,Logiya,Mile,Mojo,Najeso -Gera
1984_6,187.86561270431213,75.49646786910026,12.028907528159564,62.008588207143234,1.6891556741006095,93.6302403492627,30.80289057098997,146.90811366740456,0.0469309822835329,176.9562623751323,91.38276536990963,9.764268795848672,2.6625022433972823,20.351282986653683,112.29918018248362,101.38103791825031,141.94557386044403,0.2243445404977382,2.6340513273817963,118.74940807998748,23.961629264673796
1984_7,283.1979609528604,209.5559890749938,58.827558806010984,176.09035758185752,22.592904078949026,152.3096787676478,127.91919796704192,198.57025879164416,3.186184019770323,197.98824538097816,110.07295306847114,83.90119880686485,57.3935805980054,50.364746671327644,279.9181278894102,116.38905715367184,238.12010562252732,34.968110704164815,75.00028919137449,225.37742709767653,81.4583119534037
1984_8,232.04608976860524,93.4732680891468,29.8368080957383,77.17967748476715,7.243811029315841,101.78463806345951,43.69881927282106,171.8533355693488,1.8669187996311452,171.61045719895063,84.11982610770661,34.660128599884054,24.199771505592384,35.31375929117298,151.44107627017726,142.8116810728134,138.66485741168336,23.663538321602402,58.37593163765167,187.14530596346688,36.311302327405926
1984_9,91.38151905768846,170.8147961018429,78.84283098822885,221.00252333501203,45.41395638847028,105.00368904210349,87.1826762082722,98.9917045255388,9.901838087022595,99.59564694654986,106.67221720761779,92.65291382044441,62.11331951730177,64.40896811123592,176.77883157962742,129.4392903429886,92.51362493229182,42.0726076660625,66.13422254301858,87.30750719175082,102.96248731690828
1984_10,0.0,0.0,30.37613245475863,0.0,0.0,1.4853822545840145,0.09093966624611445,0.16641530197178855,0.0,0.1624024565725685,0.4016655575857447,0.4882099387245749,0.0,0.2519421564833454,0.0,1.2033159530458848,0.19794240883136094,0.0,0.0,0.0,6.581789585445642
1984_11,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1984_12,3.0465079859901616,45.69987856961088,6.023521784359458,64.31556027650774,24.660656598606195,8.524923297894091,16.986811760643455,2.119072382088567,1.977803167248949,3.5035925084431514,5.84317461339836,42.8819508646424,67.54458290067106,9.336090737361246,34.96892904915987,10.685923567853381,4.148352698348406,38.04582902252894,51.083023674331685,4.512744434883902,25.233993178451374
1985_1,11.844877932780506,15.192237532777241,7.263204919362651,22.228782206842176,3.2962508844679386,8.596268462135454,14.284729903588156,9.459043919092448,0.7790917564192844,2.954778501852593,1.065523000414697,6.601295785034282,4.090120672179509,3.423703307818898,10.796520437731562,3.3558075032323442,4.520444752236497,2.724450793545389,8.445718845733285,3.2207835163979084,14.373836676568008
1985_2,0.05126910659328579,0.20762250377929306,0.029337823642025224,0.7192827071386015,0.26272167582883976,0.5869558819221556,0.8973235127660596,0.19637628635440263,0.5261488794397944,0.4187090727415504,3.2826099094398256,0.1779096735844198,0.16652033532905222,7.125367764030556,0.4752128443044804,3.8540344477245387,0.2532942829560072,6.165566251262565,1.8737312969568458,0.008236392111066455,0.09321443355011438
1985_3,29.3174208365557,55.823512557910654,54.735179099834845,33.29740564536837,37.77767972047699,25.19779938046212,16.134037268287887,18.94952839482095,8.691961941168088,17.703087265765394,31.012507090917083,54.10527802891617,30.77232206251663,52.96827955011986,52.901788401308764,19.882449526192005,17.563838096771942,29.487190340145958,36.10502729699727,14.253885260740256,23.84619208251168
1985_4,91.48970702991141,149.71507146142642,241.4716008862035,161.7805151600353,140.1222320913167,133.79730454877412,123.37982173060725,72.93725538124146,47.45377127529509,63.47514008056403,141.23052831129968,226.11162104103292,160.27129667342228,112.49803315667316,134.08324733782453,121.05932017057121,89.05980912964829,133.1725349151544,155.95660061668028,64.07990603000249,175.86725088946127
1985_5,88.10650173172105,104.83297355928215,70.41555502294871,118.72478625383359,25.179170565538996,126.93752219461177,67.6619059054497,71.62806553059711,21.905572159373204,71.67901443526344,133.43679085558364,53.019071738127785,40.26895896300151,73.9840326352903,115.10254719629197,105.64520539741565,116.46917822116374,37.737748310047515,40.36348600318051,86.09369715600779,87.35941589272615
1985_6,80.1398529062832,28.678205769222398,5.558437114009971,2.4510018240583302,0.004762094526556524,48.38261309058426,2.500541295315758,79.60253523508443,0.009391793930263735,50.66783413604234,70.55370395154267,1.9464242393819793,0.44625849465931966,8.194186291433262,33.70792419761196,68.25338174634808,38.76070410555084,0.17746424364382227,1.9839087121177084,27.692027873407994,0.984418961905782
1985_7,285.41729491213795,202.49782207962352,203.87313438330136,313.88904248320813,128.83170217239345,269.613105927468,190.10823625160572,272.18144314773906,34.45125051456346,407.0012571430421,267.7266868650275,208.53661999295468,172.61434847575106,70.27985084379752,280.8976985734162,237.51233802441763,323.9993893220776,85.984098570818,157.7632067045635,339.9217412984248,277.31281588601337
1985_8,329.9129596615773,345.87160634392217,292.0848301463631,494.32481196166634,174.8439896766296,280.2767721293015,182.02313059208345,257.9619000647512,29.621627421110897,335.62343174528206,271.64678438804646,325.6353311730727,216.47603020945067,90.40249725029659,400.00290471547044,245.65880982757693,316.2508825386522,131.69325698183252,221.26632212408848,296.50926724731585,328.2072263186893
1985_9,154.42291616440525,103.5396398360654,114.2232479805251,122.94567219675965,59.21156104087869,97.81681620032867,61.23417973311243,153.35090114637288,16.501342455723588,115.94244981504399,90.23994935847256,129.5547057029755,113.08789124423302,71.28440074103624,119.29062270162476,142.87119653003037,91.28986413812272,70.5391781260595,97.08100795459411,99.27647228551022,90.55919346678458
1985_10,11.882613782425961,0.4073907587904327,0.4579701632517095,7.6890597355676835,0.8642279603649466,6.091367244452751,2.652527791600863,20.10738961882646,0.07067222030351168,4.723331075844371,5.331860830018368,4.765599995495562,0.6827762858392674,6.218104763430276,0.9993098468008359,4.747599584786808,2.8123119643936683,2.8787394169218405,3.8181024486160133,8.046947199604372,5.004761888773277
